,exact_matches,partial_matches,len_cosine_sim_truth,missing_from_truth,len_summ,len_truth,total_inserted,cosine_sim_pat_extract,pat_in_extracted_sentence,pxtraced_pattern_not_in_text_hall,pxtraced_pattern_in_text_hall,extracted_sentence_not_in_text_hall,extracted_sentence_in_text_hall,set_summ,set_truth,cosine_sim_truth,try_count,len_recognized_patterns,misperid
10,1,0,0,1,13,2,13,0.44843933,1,12,1,1,12,"{'vanishing after visit pattern', 'self harm attempt pattern', 'residence vanishing pattern', 'rehab center sighting pattern', 'heated exchange leaving pattern', 'factory leaving with colleague pattern', 'friend contact prior to disappearance pattern', 'identity crisis leaving pattern', 'appointment missing pattern', 'dance studio leaving pattern', 'factory leaving pattern', 'vanishing under concerning circumstances pattern', 'rehab center leaving pattern'}","{'identity crisis', 'mental health facility patient'}",[],1,13,5564
11,1,2,0,2,4,5,4,0.5381678,4,7,5,0,12,"{'organized protest link pattern', 'online game obsession pattern', 'distress at airport pattern', 'seeking solitude pattern'}","{'obsession with online game or group', 'seeking solitude', 'linked to organized protest', 'estranged from relatives', 'known to frequent remote areas'}",[],1,4,5619
12,0,1,0,0,17,1,17,0.2786687,0,24,1,3,22,"{'vanishing pattern', 'volunteer work pattern', 'wandering pattern', 'adult day care facility encounter pattern', 'afternoon drive pattern', 'forest encounter pattern', 'alleyway encounter pattern', 'routine visit failure pattern', 'underground bunker encounter pattern', 'self harm attempt pattern', 'expedition pattern', 'survivalist community pattern', 'aimless wandering pattern', 'poorly lit alleyway encounter pattern', 'disoriented state pattern', 'solitude needs pattern', 'parking lot encounter pattern'}",{'part of survivalist community'},[],1,17,5622
13,0,0,1,0,16,1,16,0.45217255,0,17,0,5,12,"{'being at juvenile center pattern', 'wandering after talking to colleague pattern', 'wandering due to confusion pattern', 'entering shopping mall while confused pattern', 'experiencing confusion pattern', 'getting lost pattern', 'self harm attempt pattern', 'contacting strangers pattern', 'engaging strangers pattern', 'wandering from familiar location pattern', 'being found safe pattern', 'leaving belongs untouched pattern', 'being at school bus stop pattern', 'being found safe at home pattern', 'being at shelter pattern', 'being found disoriented pattern'}",{'contacted a stranger before vanishing'},"[('contacted a stranger before vanishing', 'wandering after talking to colleague pattern')]",1,16,5631
14,0,0,0,3,2,3,2,0.21370232,1,20,5,1,24,"{'abrupt departure pattern', 'unreliable communication pattern'}","{'last seen near river', 'expressed desire to disappear', 'domestic violence escape'}",[],1,2,5667
15,0,2,0,3,10,5,10,0.45512438,0,10,0,1,9,"{'unintentional vehicle boarding pattern', 'foreign travel aspiration pattern', 'mid childhood frustrations pattern', 'self harm attempt pattern', 'vehicle related confusion pattern', 'hospital visit linked pattern', 'anxiety disorientation pattern', 'failed meeting pattern', 'converted van pattern', 'impulsive decision pattern'}","{'withdrew from family', 'undiagnosed mental illness', 'foreign travel suspected', 'unknown medical condition', 'lived in converted van'}",[],1,10,5676
16,0,0,0,1,5,1,5,0.21730654,5,17,7,17,7,"{'wandering pattern', 'family conflict pattern', 'familiar places pattern', 'self support pattern', 'youth center no show pattern'}",{'mental health facility patient'},[],1,5,5713
17,0,4,0,1,9,5,9,0.4068605,9,4,5,4,5,"{'wandering from familiar place pattern', 'disorientation in unfamiliar place pattern', 'solitude fascination pattern', 'meeting with colleague pattern', 'growing hermit interest pattern', 'increasing withdrawal pattern', 'sudden cash withdrawal pattern', 'preoccupation with past events pattern', 'adverse weather condition pattern'}","{'withdrew cash before leaving', 'foul weather incident', 'active on social media before vanishing', 'unknown medical condition', 'interested in hermit lifestyle'}",[],1,9,5772
18,0,1,0,1,9,2,9,0.2571205,1,18,12,0,30,"{'disorientation during travel pattern', 'self sufficient interest pattern', 'disorientation after event pattern', 'unintended location pattern', 'familiar location visit pattern', 'extended walk pattern', 'dementia related disappearance pattern', 'self sufficient living pattern', 'airport departure pattern'}","{'left in middle of night', 'living off grid'}",[],2,9,5806
19,1,1,0,0,15,2,15,0.49464813,0,28,0,4,24,"{'ferry boarding disappearance pattern', 'home disappearance pattern', 'unfamiliar address encounter pattern', 'warehouse encounter pattern', 'hiking trail disappearance pattern', 'colleague meeting failure pattern', 'snow area disappearance pattern', 'creative works left behind pattern', 'self harm attempt pattern', 'snow area with limited connectivity pattern', 'snow area encounter pattern', 'warehouse disappearance pattern', 'online group involvement pattern', 'class related disappearance pattern', 'ferry disappearance pattern'}","{'left creative works behind', 'in touch with unknown online group'}",[],1,15,5812
20,0,3,0,0,13,3,13,0.43728432,0,13,0,1,12,"{'sudden isolation pattern', 'sudden disappearance from facility pattern', 'sudden departure pattern', 'illegal site visitation pattern', 'exhibiting distress at military base pattern', 'self harm attempt pattern', 'frequent island visitation pattern', 'squatting behavior pattern', 'missing from illegal site pattern', 'recent personality change pattern', 'avoiding friends near illegal site pattern', 'exhibiting no contact pattern', 'wandering towards illegal site pattern'}","{'personality changes before disappearance', 'no contact with close friends', 'suspected to be squatting'}",[],1,13,5902
21,0,2,1,0,12,3,12,0.42310077,0,16,0,2,14,"{'withdrawal pattern', 'elevator vanish pattern', 'minimal clue pattern', 'off grid discovery pattern', 'self harm attempt pattern', 'storm departure pattern', 'distress in elevator pattern', 'unexplained departure pattern', 'fitness center discovery pattern', 'elevator disappearance pattern', 'secluded area discovery pattern', 'highway discovery pattern'}","{'left during storm', 'withdrew from family', 'living off grid'}","[('withdrew from family', 'withdrawal pattern')]",1,12,5904
22,1,2,1,1,5,5,5,0.30574602,0,30,0,1,29,"{'self harm attempt pattern', 'avoiding family pattern', 'argument pattern', 'avoiding social services pattern', 'argument with family member pattern'}","{'obsession with online game or group', 'left home during argument', 'recent escape from abusive household', 'avoiding social services', 'possible witness to crime'}","[('recent escape from abusive household', 'self harm attempt pattern')]",1,5,5942
23,0,2,1,3,8,6,8,0.5538657,1,45,0,5,40,"{'crime linked disappearance pattern', 'pharmacy departure pattern', 'self harm attempt pattern', 'neighbor house disappearance pattern', 'foul weather departure pattern', 'midnight departure pattern', 'highway disappearance pattern', 'school event pattern'}","{'possible witness to crime', 'left in middle of night', 'foul weather incident', 'seeking solitude', 'fear of deportation', 'mental health issues'}","[('left in middle of night', 'midnight departure pattern')]",5,8,5948
24,0,0,0,2,4,2,4,0.14539275,0,32,0,1,31,"{'misdirection pattern', 'lost track of time pattern', 'distressed state pattern', 'seemingly lost in thought pattern'}","{'relationship breakdown', 'last seen near river'}",[],1,4,5993
25,0,0,0,1,10,1,10,0.24430372,0,12,0,0,12,"{'displaying distress pattern', 'staying at safe house pattern', 'heading towards military base pattern', 'mentioning safe house pattern', 'boarding airplane pattern', 'seeking safe house pattern', 'leaving personal belongs pattern', 'planning meeting pattern', 'exploring unfamiliar areas pattern', 'following routine pattern'}",{'unknown medical condition'},[],1,10,6000
26,0,2,0,0,9,2,9,0.5076816,4,9,3,0,12,"{'squatting in gang territory pattern', 'gang territory to remote island pattern', 'squatting on remote island pattern', 'inadvertent entry into gang territory pattern', 'disorientation in locker room pattern', 'squatting in gang territory on cruise ship pattern', 'inadvertent bus trip pattern', 'squatting on cruise ship pattern', 'unexpected detour pattern'}","{'suspected to be squatting', 'visiting remote island'}",[],1,9,6081
27,0,0,0,1,4,1,4,0.5352382,0,4,0,0,4,"{'stress related behavior pattern', 'unreliable attendance pattern', 'avoidance of medical care pattern', 'self care pattern'}",{'missing after night out'},[],1,4,6082
28,1,0,0,1,3,2,3,1.0,1,5,0,0,5,"{'attempt to escape pattern', 'planned to sleep rough pattern', 'self harm attempt pattern'}","{'planned to sleep rough', 'recently outed lgbtq  identity'}",[],1,3,6098
29,0,1,0,1,5,2,5,0.29521766,4,3,3,2,4,"{'unplanned meeting abandonment pattern', 'sudden location change pattern', 'sudden financial activity pattern', 'sudden job change pattern', 'suspicious social interaction pattern'}","{'left job unexpectedly', 'withdrew cash before leaving'}",[],1,5,6116
30,0,4,0,0,27,4,27,0.22712989,4,29,19,15,33,"{'often getting disoriented', 'which may have influenced his movements', 'prompting the family to trace him', 'travel related scenario pattern', 'forfar', 'visiting briefly at 1 pitfour street', 'norman white struggled to calm him down', 'self isolation pattern', 'with dementia', 'despite his advanced age and disability', 'sparking concern among his family', 'dundee', 'which often took him through hyndford street', 'illegal employment pattern', 'he vanished mysteriously', 'brechin', 'possibly boated a ferry', 'he was last seen on the rooftop of a community center with dale wood', 'unexplained detour pattern', 'some of which may have led him into precarious situations', 'frequent rooftop visits pattern', 'fearing his involvement in domestic violence related situations', 'including his friend norman white', 'stranger contact pattern', 'carnoustie', 'often finding his way to unexpected locations', 'ferry boarding pattern'}","{'possible ferry boarding', 'contacted a stranger before vanishing', 'part of survivalist community', 'illegal employment status'}",[],1,27,6152
31,0,4,0,1,14,5,14,0.35270962,4,2,13,1,14,"{'shopping mall discussion pattern', 'political fringer meeting pattern', 'river area lunch meeting pattern', 'national park day trip pattern', 'couch surfing between friends pattern', 'abusive household escape pattern', 'book club visit pattern', 'self harm attempt pattern', 'river area near home pattern', 'couch surfing at shopping mall pattern', 'national park excursion pattern', 'couch surfing after escape pattern', 'remote natural area visit pattern', 'national park remote area pattern'}","{'recent escape from abusive household', 'associated with political fringe group', 'was couch surfing', 'religious or spiritual pilgrimage', 'known to frequent remote areas'}",[],1,14,6234
32,1,1,0,0,16,2,16,0.55604506,1,16,0,2,14,"{'unplanned hiking trip pattern', 'lost while hiking pattern', 'night out with friend pattern', 'withdrawn and drug house connection pattern', 'unfamiliar area hiking pattern', 'considering drug house visit pattern', 'drug house encounter pattern', 'vanishing after partying pattern', 'seen entering drug house pattern', 'disorientation while hiking pattern', 'attempted to visit juvenile center pattern', 'fascination with drug houses pattern', 'stumbling into drug house pattern', 'separation from group pattern', 'missing in drug house pattern', 'safe house encounter pattern'}","{'missing after night out', 'lost while hiking'}",[],1,16,6239
33,4,1,0,0,15,3,15,0.6579923,0,38,0,4,34,"{'last seen leaving house pattern', 'last seen at bingo hall pattern', 'last seen near shelter pattern', 'squatting at friend place pattern', 'self harm attempt pattern', 'vehicle found abandoned near shelter pattern', 'disconnected from support services pattern', 'seen with family member pattern', 'sister contacted authority pattern', 'last seen leaving shelter pattern', 'vehicle found abandoned near safe house pattern', 'wrong turn during walk pattern', 'last seen on regular route pattern', 'deviation from usual route pattern', 'disconnected from support services and squatting pattern'}","{'vehicle found abandoned', 'believed to be squatting', 'disconnected from support services'}",[],1,15,6299
34,0,1,0,0,8,1,8,0.3301032,0,10,0,2,8,"{'concerned family pattern', 'lost track of time pattern', 'communication breakdown pattern', 'self harm attempt pattern', 'secluded location pattern', 'friend involvement pattern', 'no foul play pattern', 'unplanned travel pattern'}",{'travelled without telling family'},[],2,8,6383
35,1,2,1,2,19,6,19,0.72578645,0,96,0,6,90,"{'intentional departure pattern', 'self harm attempt pattern', 'dementia issues pattern', 'remote island pilgrimage pattern', 'distracted behavior pattern', 'cliff visits pattern', 'disorientation in unfamiliar terrain pattern', 'remote island visit pattern', 'cliff nearby pattern', 'medical clinic visits pattern', 'disorientation between familiar locations pattern', 'unexpected departure pattern', 'cliff visit plans pattern', 'suicidal ideation pattern', 'spiritual pilgrimage pattern', 'cliff visit desire pattern', 'adventurous spirit pattern', 'familiar location visits pattern', 'cliff visit pattern'}","{'vanished during seasonal work', 'lost while hiking', 'religious or spiritual pilgrimage', 'suicidal ideation', 'left job unexpectedly', 'visiting remote island'}","[('left job unexpectedly', 'unexpected departure pattern')]",3,19,6395
36,0,1,0,3,5,4,5,0.3870738,2,4,3,1,6,"{'safe house relocation pattern', 'off grid fantasies pattern', 'repeated locker room visits pattern', 'exploring locker rooms pattern', 'off grid behavior pattern'}","{'concerns over addiction', 'visiting remote island', 'living off grid', 'missed work with no contact'}",[],1,5,6486
37,0,1,0,1,9,2,9,0.45737687,1,18,5,0,23,"{'unfulfilled meeting pattern', 'sudden departure pattern', 'unfulfilled appointment pattern', 'alleyway document leaving pattern', 'harmful behavior pattern', 'alleyway entry pattern', 'unexplained absence pattern', 'document leaving pattern', 'communication cut off pattern'}","{'left passport and documents', 'cut off communications'}",[],1,9,6512
38,0,1,0,0,4,1,4,0.16264036,0,27,0,0,27,"{'unplanned trip pattern', 'impulsive departure pattern', 'fringe group association pattern', 'shed association pattern'}",{'associated with political fringe group'},[],1,4,6529
39,0,1,0,1,7,2,7,0.40100345,1,24,0,2,22,"{'boat related disappearance pattern', 'disorientation in barn pattern', 'attempt to flee pattern', 'self harm attempt pattern', 'foreign travel pattern', 'ferry related disappearance pattern', 'disorientation pattern'}","{'abduction suspicion', 'foreign travel suspected'}",[],1,7,6542
40,2,0,0,1,16,2,16,0.4192137,2,26,1,4,23,"{'cliff area frequentation pattern', 'cliff search pattern', 'school project meeting pattern', 'cliff discussion pattern', 'romantic rejection departure pattern', 'fairground arcade pattern', 'cliff fairground pattern', 'romantic rejection alone pattern', 'friend wandering pattern', 'ride exploration pattern', 'fairground meeting pattern', 'school departure pattern', 'cliff approach after alone request pattern', 'cliff approach pattern', 'cliff area alone request pattern', 'cliff edge approach pattern'}","{'romantic rejection', 'recent bereavement'}",[],1,16,6575
41,0,0,1,0,3,1,3,1.0000001,1,5,0,0,5,"{'abrupt leaving pattern', 'self harm attempt pattern', 'search operations pattern'}",{'left job unexpectedly'},"[('left job unexpectedly', 'abrupt leaving pattern')]",1,3,6577
42,0,3,0,2,18,5,18,0.45602158,0,18,0,2,16,"{'vehicle abandonment near church pattern', 'riverbank approach pattern', 'dementia disorientation pattern', 'unintentional detour pattern', 'river vehicle abandonment pattern', 'cave visit pattern', 'self harm attempt pattern', 'sudden communication cut pattern', 'unplanned wander pattern', 'creative expression pattern', 'river wander pattern', 'tunnel entry pattern', 'river confusion pattern', 'cafe visit pattern', 'solitude indication pattern', 'vehicle abandonment pattern', 'cave confusion pattern', 'missed appointment pattern'}","{'vehicle found abandoned', 'cut off communications', 'has history of trauma', 'active on social media before vanishing', 'left creative works behind'}",[],1,18,6609
43,0,0,0,0,6,0,6,0.2564269,0,6,0,0,6,"{'solitude pattern', 'disorientation due to dementia', 'disorientation near familiar location', 'no show pattern', 'family intervention pattern', 'disorientation near water source'}",set(),[],1,6,6635
44,0,1,0,0,14,1,14,0.47690892,0,14,0,1,13,"{'police location discovery pattern', 'online group contact pattern', 'self harm attempt pattern', 'gas station encounter pattern', 'visit failure pattern', 'emotional conversation pattern', 'online group engagement pattern', 'safe at home pattern', 'residence last seen pattern', 'regular meeting location last seen pattern', 'online group involvement pattern', 'unusual behavior pattern', 'online group suspicion pattern', 'residence discovery after search pattern'}",{'in touch with unknown online group'},[],1,14,6636
45,1,2,0,3,12,6,12,0.30170783,8,10,2,1,11,"{'sudden absence pattern', 'unusual commute pattern', 'off grid aspiration pattern', 'sudden departure pattern', 'hiking frequency pattern', 'document abandonment pattern', 'construction site frequency pattern', 'desire to disappear pattern', 'construction site financial stress pattern', 'identity crisis disappearance pattern', 'construction site vulnerability pattern', 'running group frequency pattern'}","{'did not collect medication', 'left passport and documents', 'unpaid debts', 'identity crisis', 'expressed desire to disappear', 'living off grid'}",[],1,12,6681
46,0,1,0,1,6,2,6,1.0,1,64,0,0,64,"{'exploring new places pattern', 'trying to make sense of life changes pattern', 'searching for family pattern', 'running away from home pattern', 'attempt to reconnect pattern', 'self harm attempt pattern'}","{'disowned by family', 'last seen at train station'}",[],2,6,6722
47,0,0,0,1,3,1,3,0.20009431,1,3,18,0,21,"{'exploring underground bunker pattern', 'exploring swamp pattern', 'exploring basement pattern'}",{'linked to organized protest'},[],1,3,6729
48,2,0,0,2,8,4,8,0.52897424,0,16,0,1,15,"{'vanished during seasonal work pattern', 'exploring new places pattern', 'lost in familiar area pattern', 'found at uncles house pattern', 'self harm attempt pattern', 'believed to be in forested area pattern', 'forest orchard disappearance pattern', 'found distressed in orchard pattern'}","{'believed to be in forested area', 'overdue return from walk', 'unknown medical condition', 'vanished during seasonal work'}",[],1,8,6760
49,0,3,0,3,5,6,5,0.28084093,0,126,0,6,120,"{'sudden return pattern', 'self harm attempt pattern', 'survivalist community involvement pattern', 'squatting pattern', 'online group involvement pattern'}","{'travelled without telling family', 'possibly involved in cult', 'part of survivalist community', 'suspected to be squatting', 'recently outed lgbtq  identity', 'in touch with unknown online group'}",[],1,5,6792
50,2,1,1,2,6,6,6,0.13486323,0,0,19,0,19,"{'heading towards snowy area pattern', 'abrupt departure pattern', 'sudden absence pattern', 'disconnected from support services pattern', 'cut off communications pattern', 'avoid authorities pattern'}","{'cut off communications', 'possibly involved in cult', 'disconnected from support services', 'known to avoid authorities', 'has gone missing before', 'abduction suspicion'}","[('has gone missing before', 'sudden absence pattern')]",1,6,6827
51,0,1,0,0,19,1,19,0.44413581,1,25,0,2,23,"{'safe family discovery pattern', 'self harm attempt pattern', 'solo hiking trip failure pattern', 'dementia vulnerability pattern', 'disorientation pattern', 'illegal site visitation pattern', 'bingo outing failure pattern', 'unusual location discovery pattern', 'vulnerability pattern', 'hiking trip failure pattern', 'illegal site revisit pattern', 'unrelated address discovery pattern', 'safe discovery pattern', 'fatigue disorientation pattern', 'walking route failure pattern', 'cave getting lost pattern', 'cave exploration pattern', 'illegal site encounter pattern', 'unrelated location discovery pattern'}",{'disappeared after hiking trip'},[],1,19,6869
52,3,1,0,2,7,4,7,0.42824665,0,7,0,0,7,"{'avoiding social services due to addiction pattern', 'avoiding custody arrangements pattern', 'avoiding social services with addiction issues pattern', 'boarding airplane without notification pattern', 'avoiding social services with addiction issues and airplane sighting pattern', 'avoiding authorities after airplane sighting pattern', 'wandering off pattern'}","{'concerns over addiction', 'left in middle of night', 'avoiding social services', 'has gone missing before'}",[],1,7,6875
53,0,2,1,1,10,4,10,0.35455948,2,9,1,0,10,"{'abrupt departure pattern', 'uninformed travel pattern', 'visiting familiar places pattern', 'avoid traffic pattern', 'sleeping rough plans pattern', 'exploring new paths pattern', 'financial stress discussion pattern', 'unverified arrival pattern', 'sleeping rough confession pattern', 'fresh start intention pattern'}","{'travelled without telling family', 'financial difficulties', 'believed to be in another city', 'planned to sleep rough'}","[('travelled without telling family', 'uninformed travel pattern')]",1,10,6918
54,0,3,0,1,9,4,9,0.38946685,4,9,6,1,14,"{'gang territory visit pattern', 'stranger contact pattern', 'family event absence pattern', 'self harm attempt pattern', 'solitude evasion pattern', 'sister contact pattern', 'bar visit pattern', 'communication cut off pattern', 'avoiding authorities pattern'}","{'known to avoid authorities', 'believed to be in forested area', 'cut off communications', 'contacted a stranger before vanishing'}",[],1,9,6927
55,1,3,0,0,13,4,13,0.14179672,12,14,0,14,0,"{'foreign travel suspected pattern', 'camping pattern', 'squatting near ocean pattern', 'unplanned city exploration pattern', 'ocean fascination pattern', 'friend involved pattern', 'self harm attempt pattern', 'family member involved pattern', 'solo travel pattern', 'squatting pattern', 'online group involvement pattern', 'ocean arcade escape pattern', 'friend accompanied pattern'}","{'in touch with unknown online group', 'believed to be camping', 'suspected to be squatting', 'foreign travel suspected'}",[],1,13,6971
56,1,2,0,2,12,5,12,0.53100055,4,8,4,0,12,"{'friend house visit pattern', 'grocery store visit after casino visit pattern', 'sea kayaking related incident pattern', 'multiple incident sites pattern', 'estrangement with visa issue concerns pattern', 'visa issue related solitude pattern', 'off grid living with visa issues pattern', 'foster case status with sea kayaking accident pattern', 'visa issue related departure pattern', 'sea kayaking related speculation pattern', 'travel related stressful situation pattern', 'travel related site visit pattern'}","{'last seen near river', 'possible sea kayaking accident', 'estranged from relatives', 'suspected visa issues', 'living off grid'}",[],1,12,6985
57,0,3,1,1,10,5,10,0.49664372,0,11,0,0,11,"{'rest area with new partner pattern', 'storm drain after exploring pattern', 'well after wandering pattern', 'well after exploring storm drains pattern', 'rest area after alone pattern', 'well feeling disoriented pattern', 'rest area after rejection pattern', 'rest area after previous disappearance pattern', 'storm drain feeling vulnerable pattern', 'self disconnect pattern'}","{'romantic rejection', 'left during storm', 'disconnected utilities before leaving', 'has gone missing before', 'new romantic partner unknown to others'}","[('disconnected utilities before leaving', 'self disconnect pattern')]",1,10,6989
58,0,1,0,0,25,1,25,0.4035294,23,24,1,24,1,"{'acting erratically in public pattern', 'sudden behavior change pattern', 'self harm attempt pattern', 'found safely in remote location pattern', 'influenced by friend pattern', 'heading towards border area pattern', 'went missing near border area pattern', 'overwhelmed by daily pressures pattern', 'located safely after thorough search pattern', 'enjoys hiking pattern', 'found safely at friend location pattern', 'mother reported erratic behavior pattern', 'located at initial departure point pattern', 'spontaneous travel pattern', 'heading towards familiar location pattern', 'frequent office location pattern', 'found safely after brief period pattern', 'stable life disappearance pattern', 'victim again pattern', 'attended professional event pattern', 'last seen in border area pattern', 'traced to familiar location pattern', 'found safely after family tracing pattern', 'acting erratically in border area pattern', 'found safely at familiar location pattern'}",{'noted to act erratically'},[],1,25,7016
59,1,1,0,1,16,3,16,0.45136082,14,2,14,0,16,"{'digital footprint leads to safe location pattern', 'mobility impairment leads to distress pattern', 'sudden online cease pattern', 'police traced to acquaintance home pattern', 'active social media posts hiding struggles pattern', 'last sighting near warehouse pattern', 'found upset in alleyway pattern', 'concerning social media posts pattern', 'unusual activity pattern', 'couchsurfing to avoid foster home pattern', 'instability in living arrangements pattern', 'wandering toward alleyway pattern', 'heading toward construction site pattern', 'boarding school search pattern', 'mental health issues pattern', 'mobility impairment leads to wandering pattern'}","{'mental health issues', 'active on social media before vanishing', 'was couch surfing'}",[],1,16,7118
60,2,2,0,0,11,3,11,0.6127429,0,17,0,2,15,"{'no contact with friends pattern', 'wandered off from shopping mall with medical condition pattern', 'wandered off from study group with medical condition pattern', 'creative works left behind pattern', 'wandered off from shopping mall with no contact pattern', 'self harm attempt pattern', 'wandered off from shopping mall pattern', 'wandered off from farm with no contact pattern', 'wandered off from cafe with medical condition pattern', 'wandered off unnoticed pattern', 'creative works left behind and no contact pattern'}","{'left creative works behind', 'no contact with close friends', 'unknown medical condition'}",[],1,11,7132
61,0,5,0,0,13,5,13,0.49606237,8,10,6,2,14,"{'planning to stop by fast food', 'self harm attempt pattern', 'seeking refuge in another city', 'exploring nearby area pattern', 'venturing onto the boat', 'wandering into thick woods pattern', 'planning to sleep rough pattern', 'disconnecting utilities pattern', 'exploring scenic routes pattern', 'fascination with new life pattern', 'traveling to another city', 'wandering off pattern', 'declining authority engagement'}","{'planned to sleep rough', 'seeking solitude', 'believed to be in another city', 'disconnected utilities before leaving', 'interested in starting new life'}",[],1,13,7146
62,0,2,0,0,4,2,4,0.22168805,0,1,21,1,21,"{'new partner encounter pattern', 'sudden departure pattern', 'estranged family member pattern', 'self harm attempt pattern'}","{'estranged from relatives', 'new romantic partner unknown to others'}",[],1,4,7163
63,0,0,0,2,5,2,5,0.31075162,3,3,2,0,5,"{'sudden departure pattern', 'safe location discovery pattern', 'self harm threat pattern', 'cemetery visit pattern', 'cemetery inquiry pattern'}","{'had spoken of disappearing', 'noted to act erratically'}",[],1,5,7179
64,0,2,0,2,4,4,4,0.30851257,0,72,0,3,69,"{'abandoned building pattern', 'job abandonment pattern', 'self harm attempt pattern', 'communication cut off pattern'}","{'left phone at home', 'avoiding social services', 'cut off communications', 'left job unexpectedly'}",[],1,4,7238
65,1,3,0,1,16,5,16,0.40215093,16,4,12,4,12,"{'hiding near water pattern', 'shed near water pattern', 'exploring areas pattern', 'found in shed pattern', 'found at relative house pattern', 'suspicious behavior pattern', 'suspicious interactions pattern', 'deportation fear pattern', 'family conflict pattern', 'solitude seeking pattern', 'secluded areas pattern', 'familiar route pattern', 'abduction suspicion pattern', 'deportation fear and support disengagement pattern', 'wandering off pattern', 'exploring during weather pattern'}","{'left during storm', 'disowned by family', 'has gone missing before', 'fear of deportation', 'abduction suspicion'}",[],1,16,7288
