,exact_matches,partial_matches,len_cosine_sim_truth,missing_from_truth,len_summ,len_truth,total_inserted,cosine_sim_pat_extract,pat_in_extracted_sentence,pxtraced_pattern_not_in_text_hall,pxtraced_pattern_in_text_hall,extracted_sentence_not_in_text_hall,extracted_sentence_in_text_hall,set_summ,set_truth,cosine_sim_truth,try_count,len_recognized_patterns,misperid
22,2,4,1,0,24,6,24,0.34247193,18,14,10,4,20,"{'gang territory association pattern', 'coffee shop association pattern', 'solitary walk pattern', 'childcare facility pattern', 'social services avoidance expression pattern', 'utility disconnection pattern', 'illegal employment status association pattern', 'desire to disappear pattern', 'self harm attempt pattern', 'hermit lifestyle pattern', 'truck stop location pattern', 'bar association pattern', 'social services avoidance pattern', 'drug house association pattern', 'family connection pattern', 'illegal employment status pattern', 'sudden departure pattern', 'truck stop sighting pattern', 'desire to disappear statement pattern', 'water related area pattern', 'intentional disappearance pattern', 'water related location pattern', 'truck stop association pattern', 'desire to disappear expression pattern'}","{'illegal employment status', 'avoiding social services', 'expressed desire to disappear', 'believed to be in forested area', 'interested in hermit lifestyle', 'disconnected utilities before leaving'}","[('disconnected utilities before leaving', 'utility disconnection pattern')]",1,24,683
23,0,1,0,3,3,4,3,0.25285643,3,2,6,0,8,"{'lured away pattern', 'sudden disappearance pattern', 'online game obsession pattern'}","{'left behind no note', 'obsession with online game or group', 'contacted a stranger before vanishing', 'active on social media before vanishing'}",[],1,3,729
24,0,3,0,1,9,4,9,0.45226872,0,9,0,0,9,"{'disorientation after meeting pattern', 'extended stroll pattern', 'desire for solitude pattern', 'foreign travel without notification pattern', 'abandoned identity pattern', 'left behind documents pattern', 'searched mine areas pattern', 'heading towards familiar location pattern', 'located safe in familiar location pattern'}","{'foreign travel suspected', 'disowned by family', 'used aliases in past', 'left passport and documents'}",[],1,9,777
25,0,0,1,1,3,2,3,0.13386291,3,10,14,3,21,"{'alias use pattern', 'disorientation pattern', 'diversion from usual path pattern'}","{'used aliases in past', 'had maps of highlands'}","[('used aliases in past', 'alias use pattern')]",1,3,781
26,0,2,0,2,8,4,8,0.33600998,8,17,4,17,4,"{'disoriented in forest pattern', 'shopping mall misadventure pattern', 'spontaneous outdoor adventure pattern', 'disoriented and hidden pattern', 'dementia related misadventure pattern', 'wandered off pattern', 'disoriented during weather pattern', 'train station misadventure pattern'}","{'disappeared after hiking trip', 'left during storm', 'believed to be in forested area', 'relationship breakdown'}",[],1,8,783
27,0,3,0,2,10,5,10,1.0000002,1,21,0,2,19,"{'withdrawal behavior', 'coerced by family member', 'hermit lifestyle interest', 'exploring alone', 'storm drain involvement', 'self harm attempt pattern', 'attempted to visit family member', 'skate park involvement', 'exploring with family member', 'online gaming addiction'}","{'foreign travel suspected', 'concerns over addiction', 'left creative works behind', 'withdrew from family', 'interested in hermit lifestyle'}",[],1,10,851
28,0,0,2,0,20,2,20,0.2554557,10,16,8,2,22,"{'roadhouse departure pattern', 'residence return pattern', 'disorientation pattern', 'concert warehouse escape pattern', 'concert departure pattern', 'relative residence pattern', 'cabin departure pattern', 'religious site escape pattern', 'friend residence pattern', 'home departure pattern', 'cabin escape pattern', 'self harm attempt pattern', 'sports arena disorientation pattern', 'cabin warehouse departure pattern', 'sudden departure pattern', 'sudden absence pattern', 'warehouse departure pattern', 'memory loss pattern', 'warehouse escape pattern', 'midnight departure pattern'}","{'left in middle of night', 'unknown medical condition'}","[('left in middle of night', 'midnight departure pattern'), ('unknown medical condition', 'sudden absence pattern')]",1,20,857
29,0,1,0,1,5,2,5,0.5526276,0,24,1,0,25,"{'casino visit pattern', 'bathroom discovery pattern', 'self harm attempt pattern', 'disconnected utilities pattern', 'lost while navigating pattern'}","{'mental health facility patient', 'disconnected utilities before leaving'}",[],1,5,884
30,1,3,0,0,9,4,9,0.26306093,6,8,9,6,11,"{'argument leading to disorientation pattern', 'social media usage before disappearance pattern', 'getting lost between locations pattern', 'abrupt departure pattern', 'online presence indicating identity crisis pattern', 'sudden disappearance pattern', 'wandering from location to location pattern', 'argument leading to disappearance pattern', 'withdrawal from university pattern'}","{'withdrawn from university', 'identity crisis', 'left home during argument', 'active on social media before vanishing'}",[],1,9,903
31,0,3,0,2,15,5,15,0.5549523,0,15,0,1,14,"{'abandoned shed refuge pattern', 'visit wander pattern', 'familial tension escape pattern', 'left bag in shed pattern', 'fringe group association pattern', 'found in closet pattern', 'wanderlust pentance pattern', 'self harm attempt pattern', 'school bus stop last seen pattern', 'near military base pattern', 'hide and seek pattern', 'wandered off bus route pattern', 'uninformed plans pattern', 'remote area frequentation pattern', 'looking for grandfather pattern'}","{'associated with political fringe group', 'financial difficulties', 'estranged from relatives', 'known to frequent remote areas', 'last seen near river'}",[],1,15,908
32,0,1,1,3,3,5,3,0.38450363,2,1,5,0,6,"{'bereavement related disappearance pattern', 'repeated victim pattern', 'escaped abuse pattern'}","{'linked to organized protest', 'recent escape from abusive household', 'recent bereavement', 'missing after night out', 'has gone missing before'}","[('recent escape from abusive household', 'escaped abuse pattern')]",1,3,951
33,0,1,0,0,22,1,22,0.3874732,2,20,2,1,21,"{'near cemetery disappearance pattern', 'playing near north pier pattern', 'vanishing during seasonal work pattern', 'back road disappearance pattern', 'vanishing during community service pattern', 'vanishing from illegal site pattern', 'exploring with friends pattern', 'vanishing from cemetery pattern', 'vanishing near cemetery pattern', 'playing near railway pier pattern', 'wandering from home pattern', 'vanishing during family visits pattern', 'getting lost from family pattern', 'illegal site disappearance pattern', 'vanishing on hiking trail pattern', 'vanishing while at illegal site pattern', 'getting lost in public pattern', 'found near playground shed pattern', 'back road encounter pattern', 'vanishing on back road pattern', 'exploring illegal sites pattern', 'exploring hiking trails pattern'}",{'vanished during seasonal work'},[],1,22,962
34,0,1,0,4,8,5,8,0.33246058,5,3,13,2,14,"{'desert escape pattern', 'high risk status pattern', 'domestic violence support group pattern', 'spiritual pilgrimage pattern', 'unexplained absence pattern', 'domestic violence association pattern', 'feeling overwhelmed pattern', 'unplanned trip pattern'}","{'recently released from prison', 'religious or spiritual pilgrimage', 'left in middle of night', 'missed work with no contact', 'left during storm'}",[],1,8,985
35,0,2,0,1,2,3,2,0.45682964,0,5,0,2,3,"{'self harm attempt pattern', 'desire to disappear pattern'}","{'expressed desire to disappear', 'believed to be homeless', 'living off grid'}",[],2,2,1019
36,3,1,0,2,10,5,10,0.5621366,0,10,0,0,10,"{'failed to collect medication pattern', 'failed to return home pattern', 'expressed desire to disappear pattern', 'failed to meet friend pattern', 'expressed desire to disappear due to unusual behavior pattern', 'wandered off from location pattern', 'visited location after desire to disappear pattern', 'last seen leaving location pattern', 'wandered into location pattern', 'involved in criminal activity pattern'}","{'involved in criminal activity', 'recent bereavement', 'vehicle found abandoned', 'expressed desire to disappear', 'did not collect medication'}",[],1,10,1077
37,2,2,0,0,12,3,12,0.50883096,8,7,5,1,11,"{'forest area near home pattern', 'disoriented at ferry by fairground pattern', 'identity crisis pattern', 'last seen by sister pattern', 'found at home comforted by friend pattern', 'wandering alone on the beach pattern', 'gas station leaving identity crisis pattern', 'secluded path leading to woodland pattern', 'gas station leaving pattern', 'gas station snack purchase pattern', 'forest area near fairground pattern', 'on a back road pattern'}","{'believed to be in forested area', 'identity crisis', 'recently moved to area'}",[],1,12,1143
38,0,2,0,2,12,4,12,0.4854174,11,11,1,11,1,"{'amusement park visit during pilgrimage pattern', 'abandoned vehicle on unfamiliar location pattern', 'mosque pilgrimage disappearance pattern', 'internet cafe visit before disappearance with friend pattern', 'religious pilgrimage disappearance pattern', 'internet cafe visit before vacation spot disappearance pattern', 'abandoned vehicle near amusement park pattern', 'abandoned vehicle outside home pattern', 'self harm attempt pattern', 'amusement park visit before internet cafe disorientation pattern', 'school event disorientation pattern', 'internet cafe visit before disappearance pattern'}","{'avoiding social services', 'recently moved to area', 'religious or spiritual pilgrimage', 'vehicle found abandoned'}",[],1,12,1160
39,1,1,2,1,12,5,12,0.16086245,1,0,12,2,10,"{'sudden absence pattern', 'identity crisis pattern', 'aggressive behavior pattern', 'rehab center visit pattern', 'unpredictable disappearance pattern', 'addiction concerns pattern', 'vehicle related incident pattern', 'distracted behavior pattern', 'music therapy pattern', 'bicycle theft pattern', 'hospital refusal pattern', 'safety distress issues pattern'}","{'identity crisis', 'concerns over addiction', 'missed work with no contact', 'missing after night out', 'has gone missing before'}","[('missing after night out', 'sudden absence pattern'), ('has gone missing before', 'sudden absence pattern')]",1,12,1188
40,0,0,0,6,3,6,3,1.0,0,37,0,0,37,"{'disorientation pattern', 'self harm attempt pattern', 'attempt to escape pattern'}","{'used aliases in past', 'lost while hiking', 'suspected visa issues', 'recently outed lgbtq  identity', 'unknown medical condition', 'concerns over addiction'}",[],1,3,1195
41,0,2,1,1,15,4,15,0.47973976,1,23,1,2,22,"{'online activity', 'tutoring center departure', 'mental illness wandering', 'cafe mention', 'failure to return', 'mental illness indicators', 'remote location interest', 'stranger interaction', 'amusement park plans', 'separation in crowds', 'amusement park disappearance', 'cult location encounter', 'online interaction disappearance', 'wandering off with brother', 'cafe meeting'}","{'disappeared after online interaction', 'has gone missing before', 'undiagnosed mental illness', 'illegal employment status'}","[('has gone missing before', 'amusement park disappearance')]",1,15,1210
42,1,4,0,1,10,6,10,0.3983727,5,12,3,3,12,"{'home departure pattern', 'water related concerns pattern', 'river location pattern', 'online group obsession pattern', 'swamp squatting pattern', 'relationship breakdown pattern', 'mental health decline pattern', 'unfamiliar location pattern', 'escalator location pattern', 'storm drain location pattern'}","{'obsession with online game or group', 'mental health issues', 'avoiding social services', 'suspected to be squatting', 'relationship breakdown', 'last seen near river'}",[],1,10,1216
43,0,4,0,1,11,5,11,0.4536667,3,9,4,0,13,"{'new partner unknown to others pattern', 'school pickup with new partner and commune concerns pattern', 'commune join pattern', 'train boarding near residence pattern', 'temporary refuge pattern', 'addiction concerns pattern', 'daycare pickup with new partner and addiction concerns pattern', 'train boarding with alternative lifestyle interests pattern', 'train boarding with family member pattern', 'location visit with new partner and addiction concerns pattern', 'train boarding with addiction concerns pattern'}","{'new romantic partner unknown to others', 'possibly joined commune', 'concerns over addiction', 'part of survivalist community', 'believed to be in another city'}",[],1,11,1274
44,0,1,0,3,8,4,8,0.5114406,1,5,3,1,7,"{'straying from destination pattern', 'online interaction with friend pattern', 'seeking solitude in unconventional places pattern', 'left rehab early pattern', 'found hiding in closet pattern', 'hiding in closet pattern', 'found distressed at concert venue pattern', 'found safe at concert venue pattern'}","{'chronic illness stress', 'disappeared after online interaction', 'missing after outdoor festival', 'undiagnosed mental illness'}",[],1,8,1276
45,0,2,1,2,10,5,10,0.32036534,7,29,11,3,37,"{'sudden absence pattern', 'suspicious circumstances pattern', 'seasonal work disappearance pattern', 'boating incident foreign country pattern', 'seasonal work foreign country pattern', 'self harm attempt pattern', 'disorientation in forest pattern', 'truck stop visit pattern', 'gas station visit pattern', 'severe weather disappearance pattern'}","{'unpaid debts', 'vanished during seasonal work', 'illegal employment status', 'left during storm', 'possible boating incident'}","[('left during storm', 'severe weather disappearance pattern')]",1,10,1289
46,0,3,0,0,14,3,14,0.45108506,0,14,0,1,13,"{'friend confidence pattern', 'factory sighting pattern', 'bus boarding pattern', 'return home pattern', 'unexplained absence pattern', 'industrial area exploration pattern', 'avoid authorities factory pattern', 'estranged foreign factory sighting pattern', 'lost track pattern', 'foreign adventure fascination pattern', 'foreign factory visit pattern', 'self harm attempt pattern', 'avoid authorities pattern', 'visa issue suspicion pattern'}","{'estranged from relatives', 'known to avoid authorities', 'suspected visa issues'}",[],1,14,1314
47,0,1,0,0,12,1,12,0.4611536,8,5,7,0,12,"{'safe disoriented medical assessment pattern', 'deviation from planned route pattern', 'failure to check in pattern', 'safe disoriented location pattern', 'separate paths during visit pattern', 'drawn to remote island pattern', 'sudden departure without notice pattern', 'safe location pattern', 'failure to attend scheduled visit pattern', 'survivalist exercise pattern', 'self reliance practice pattern', 'unusual absence pattern'}",{'part of survivalist community'},[],1,12,1375
48,0,1,0,0,2,1,2,0.11324228,0,69,0,2,67,"{'disorientation after sudden change pattern', 'sudden change in behavior pattern'}",{'sudden religious conversion'},[],1,2,1381
49,0,1,0,0,4,1,4,0.3984969,0,5,0,1,4,"{'solo hiking pattern', 'self harm attempt pattern', 'frequent camping pattern', 'expressed concern pattern'}",{'believed to be camping'},[],1,4,1466
50,0,0,0,1,7,1,7,0.36092174,0,8,0,0,8,"{'unintentional wander pattern', 'casino visit pattern', 'abrupt casino departure pattern', 'lunch miss pattern', 'rehab session miss pattern', 'dialysis miss pattern', 'therapy session miss pattern'}",{'has history of trauma'},[],1,7,1488
51,0,3,0,1,7,4,7,0.48097917,1,6,1,0,7,"{'distracted by phone pattern', 'misleading online group contact pattern', 'illegal site visit pattern', 'found at abandoned location pattern', 'avoid authorities pattern', 'physical confrontation pattern', 'found at safe house pattern'}","{'in touch with unknown online group', 'known to avoid authorities', 'last seen at train station', 'lived in converted van'}",[],1,7,1612
52,0,0,2,0,2,2,2,0.19420111,0,10,6,0,16,"{'sudden departure pattern', 'erratic behavior pattern'}","{'left job unexpectedly', 'noted to act erratically'}","[('left job unexpectedly', 'sudden departure pattern'), ('noted to act erratically', 'erratic behavior pattern')]",1,2,1618
53,3,3,0,1,14,6,13,0.5583874,0,14,0,0,14,"{'parking lot leading to hiking trail', 'argument leading to disappearance', 'heading to relative residence', 'suicidal ideation history', 'heading to open area', 'suicidal ideation while hiking', 'camping in remote areas', 'camping with companion', 'sudden unexpected movement', 'spontaneous drive', 'abduction suspicion', 'withdrawn behavior', 'community center leading to airport', 'airport to hiking trail'}","{'left home during argument', 'estranged from relatives', 'believed to be camping', 'suicidal ideation', 'abduction suspicion', 'believed to be in forested area'}",[],1,14,1634
54,0,1,0,0,3,1,3,0.4030965,3,0,5,0,5,"{'argument leading to disappearance', 'reported missing by friend', 'traced by authorities'}",{'left home during argument'},[],1,3,1682
55,0,2,0,0,14,2,14,0.38274878,11,6,8,4,10,"{'lgbtq transition pattern', 'lgbtq outing pattern', 'unsafe vehicle pattern', 'cabin frequentation pattern', 'cruise ship departure pattern', 'friendship and planning pattern', 'cabin military base departure pattern', 'cruise ship interest pattern', 'cabin no note pattern', 'self harm attempt pattern', 'cruise ship alone pattern', 'lgbtq expression pattern', 'cruise ship distress pattern', 'cruise ship planning pattern'}","{'recently outed lgbtq  identity', 'left behind no note'}",[],1,14,1724
56,0,3,1,0,13,4,13,0.544246,3,12,2,0,14,"{'remote cabin return failure pattern', 'hearing loss struggle pattern', 'spiritual pilgrimage discussion pattern', 'night out forest disappearance pattern', 'truck stop ocean location child custody pattern', 'spiritual pilgrimage ocean location pattern', 'unexpected route confusion pattern', 'remote cabin solace pattern', 'religious pilgrimage remote cabin pattern', 'addiction related absence pattern', 'forest wandering after group activity pattern', 'hobby group meeting after night out pattern', 'addiction related search pattern'}","{'believed to be in forested area', 'religious or spiritual pilgrimage', 'concerns over addiction', 'missing after night out'}","[('believed to be in forested area', 'night out forest disappearance pattern')]",1,13,1727
57,1,0,0,1,5,2,5,0.3275352,0,39,0,1,38,"{'routine disruption pattern', 'vehicle left unattended pattern', 'fear of deportation in vehicle pattern', 'vehicle abandoned pattern', 'self harm attempt pattern'}","{'no contact with close friends', 'fear of deportation'}",[],1,5,1790
58,0,0,0,1,6,1,6,0.15960018,1,56,0,2,54,"{'sudden departure pattern', 'campground related pattern', 'book club related pattern', 'boat related pattern', 'gym related pattern', 'factory visit pattern'}",{'recently released from prison'},[],1,6,1799
59,0,1,1,3,7,5,7,0.41597033,0,9,0,3,6,"{'mental health appointment pattern', 'unusual behavior before disappearance pattern', 'amusement park encounter pattern', 'temporary communication lapse pattern', 'wandering pattern', 'self harm attempt pattern', 'personality change pattern'}","{'estranged from relatives', 'personality changes before disappearance', 'concerns over addiction', 'missing after night out', 'believed to be in another city'}","[('missing after night out', 'unusual behavior before disappearance pattern')]",1,7,1839
60,0,3,0,1,6,4,6,0.10656683,0,85,0,1,84,"{'abandoned vehicle pattern', 'cult involvement pattern', 'sudden disappearance pattern', 'family search pattern', 'self harm attempt pattern', 'abusive household escape pattern'}","{'possibly involved in cult', 'possible boating incident', 'recent escape from abusive household', 'vehicle found abandoned'}",[],1,6,1864
61,0,3,0,0,9,3,9,0.30571583,1,0,14,0,14,"{'witness to crime pattern', 'disorientation near desert hospital pattern', 'disorientation near swamp pattern', 'unplanned journey to swamp pattern', 'hiking into swamp pattern', 'solitude in remote spots pattern', 'disappearance in border area pattern', 'vanishing after social interaction pattern', 'abandoned vehicle near military base pattern'}","{'vehicle found abandoned', 'possible witness to crime', 'lost while hiking'}",[],1,9,1940
